"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"CUSTOM SOLUTIONS";"FR0010889386";"ALSOL";"Euronext Growth Paris";"EUR";"6.35";"6.40";"6.20";"6.25";"14/02/2018 17:29";"CET";"26071";"164401.80"
"CYBERGUN";"FR0013204351";"ALCYB";"Euronext Growth Paris";"EUR";"1.228";"1.278";"1.044";"1.076";"14/02/2018 17:36";"CET";"1274747";"1464522.856"
"D''IETEREN";"BE0974259880";"DIE";"Euronext Brussels";"EUR";"35.88";"35.88";"35.40";"35.60";"14/02/2018 17:35";"CET";"27895";"992078.58"
"D.L.S.I.";"FR0010404368";"ALDLS";"Euronext Growth Paris";"EUR";"25.80";"26.00";"25.80";"26.00";"14/02/2018 17:09";"CET";"39";"1007.80"
"D2L GROUP";"FR0012336675";"MLGEL";"Euronext Access Paris";"EUR";"9.00";"9.00";"9.00";"9.00";"12/02/2018 11:30";"CET";"10";"90.00"
"DALENYS";"BE0946620946";"NYS";"Euronext Brussels, Paris";"EUR";"8.98";"9.00";"8.98";"9.00";"14/02/2018 17:29";"CET";"370";"3323.60"
"DALET";"FR0011026749";"DLT";"Euronext Paris";"EUR";"10.90";"10.90";"10.50";"10.60";"14/02/2018 16:05";"CET";"1681";"17856.90"
"DAMARIS";"FR0000077885";"MLDAM";"Euronext Access Paris";"EUR";"3.00";"3.22";"3.00";"3.22";"18/01/2018 16:30";"CET";"572";"1835.24"
"DAMARTEX";"FR0000185423";"ALDAR";"Euronext Growth Paris";"EUR";"35.70";"35.80";"35.70";"35.80";"14/02/2018 16:52";"CET";"126";"4510.70"
"DANONE";"FR0000120644";"BN";"Euronext Paris";"EUR";"64.35";"65.16";"63.43";"64.26";"14/02/2018 17:37";"CET";"2229770";"143539241.68"
"DASSAULT AVIATION";"FR0000121725";"AM";"Euronext Paris";"EUR";"1308.00";"1322.00";"1293.00";"1308.00";"14/02/2018 17:35";"CET";"4668";"6107426.00"
"DASSAULT SYS NV18";"FR0013306206";"DSYNV";"Euronext Paris";"EUR";"99.50";"99.50";"99.50";"99.50";"02/02/2018 11:35";"CET";"1450";"144275.00"
"DASSAULT SYSTEMES";"FR0000130650";"DSY";"Euronext Paris";"EUR";"99.00";"100.45";"98.56";"99.92";"14/02/2018 17:35";"CET";"538356";"53628187.30"
"DATBIM";"FR0004177939";"MLDTB";"Euronext Access Paris";"EUR";"2.16";"2.16";"2.16";"2.16";"08/12/2017 11:30";"CET";"5";"10.80"
"DBT";"FR0013066750";"ALDBT";"Euronext Growth Paris";"EUR";"3.02";"3.09";"2.985";"3.05";"14/02/2018 17:37";"CET";"28069";"85361.305"
"DBV TECHNOLOGIES";"FR0010417345";"DBV";"Euronext Paris";"EUR";"38.00";"47.38";"37.94";"41.94";"14/02/2018 17:38";"CET";"1729879";"75137430.14"
"DEBFLEX";"FR0010776658";"MLDEX";"Euronext Access Paris";"EUR";"1.68";"1.68";"1.68";"1.68";"14/02/2018 16:30";"CET";"216";"362.88"
"DECEUNINCK";"BE0003789063";"DECB";"Euronext Brussels";"EUR";"2.90";"2.925";"2.90";"2.915";"14/02/2018 17:35";"CET";"10548";"30735.92"
"DEINOVE";"FR0010879056";"ALDEI";"Euronext Growth Paris";"EUR";"2.10";"2.10";"2.04";"2.07";"14/02/2018 17:18";"CET";"23150";"47818.675"
"DELFINGEN";"FR0000054132";"ALDEL";"Euronext Growth Paris";"EUR";"40.40";"40.70";"40.30";"40.70";"14/02/2018 15:17";"CET";"365";"14756.30"
"DELTA DRONE";"FR0011522168";"ALDR";"Euronext Growth Paris";"EUR";"0.536";"0.551";"0.533";"0.544";"14/02/2018 17:28";"CET";"208690";"113594.774"
"DELTA DRONE BSA";"FR0013239977";"ALDBS";"Euronext Growth Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"DELTA PLUS GROUP";"FR0013283108";"DLTA";"Euronext Paris";"EUR";"50.00";"54.00";"50.00";"53.00";"14/02/2018 17:35";"CET";"13429";"698475.50"
"DERICHEBOURG";"FR0000053381";"DBG";"Euronext Paris";"EUR";"7.355";"7.395";"7.15";"7.34";"14/02/2018 17:35";"CET";"377307";"2752411.10"
"DESIGN YOUR HOME";"SE0007045380";"MLDYH";"Euronext Access Paris";"EUR";"0.054";"0.054";"0.054";"0.054";"14/02/2018 16:48";"CET";"33172";"1791.288"
"DEUTSCHE TELEKOM";"DE0005557508";"DTEL";"Traded not listed Brussels";"EUR";"13.31";"13.31";"13.31";"13.31";"14/02/2018 11:27";"CET";"200";"2662.00"
"DEVERNOIS";"FR0000060840";"ALDEV";"Euronext Growth Paris";"EUR";"108.00";"108.00";"108.00";"108.00";"12/02/2018 11:30";"CET";"1";"108.00"
"DEVOTEAM";"FR0000073793";"DVT";"Euronext Paris";"EUR";"78.40";"78.90";"77.00";"78.90";"14/02/2018 17:35";"CET";"3345";"261068.50"
"DEXIA";"BE0974290224";"DEXB";"Euronext Brussels";"EUR";"9.84";"9.86";"9.80";"9.82";"14/02/2018 16:40";"CET";"636";"6244.42"
"DGB GROUP N.V.";"NL0009169515";"DGB";"Euronext Amsterdam";"EUR";"1.02";"1.045";"1.02";"1.025";"14/02/2018 17:24";"CET";"26274";"27335.09"
"DIAGEO";"GB0002374006";"DGE";"Euronext Paris";"EUR";"28.10";"28.10";"26.36";"27.50";"14/02/2018 16:27";"CET";"1921";"52831.095"
"DIAGNOSTIC MEDICAL";"FR0012202497";"DGM";"Euronext Paris";"EUR";"1.46";"1.46";"1.42";"1.45";"14/02/2018 17:29";"CET";"1426";"2041.67"
"DIAXONHIT";"FR0013240934";"ALEHT";"Euronext Growth Paris";"EUR";"4.46";"4.485";"4.42";"4.485";"14/02/2018 17:35";"CET";"10495";"46731.88"
"DIEGEM KENNEDYCERT";"BE0003698124";"DIEG";"Euronext Brussels";"EUR";"121.00";"121.00";"121.00";"121.00";"12/02/2018 16:30";"CET";"15";"1815.00"
"DIETSWELL";"FR0010377127";"ALDIE";"Euronext Growth Paris";"EUR";"1.34";"1.34";"1.30";"1.30";"14/02/2018 16:30";"CET";"1625";"2147.30"
"DIGIGRAM";"FR0000035784";"DIG";"Euronext Paris";"EUR";"0.665";"0.665";"0.665";"0.665";"14/02/2018 16:30";"CET";"1680";"1117.20"
"DIGITECH";"FR0000079824";"MLDIG";"Euronext Access Paris";"EUR";"1.20";"1.20";"1.20";"1.20";"08/02/2018 16:30";"CET";"367";"440.40"
"DIRECT ENERGIE";"FR0004191674";"DIREN";"Euronext Paris";"EUR";"34.66";"35.54";"34.66";"35.50";"14/02/2018 17:35";"CET";"35650";"1259381.82"
"DISTRI-LAND CERT";"BE0003605160";"DISL";"Euronext Brussels";"EUR";"211.05";"211.05";"211.05";"211.05";"12/02/2018 16:30";"CET";"30";"6331.50"
"DNXCORP";"FR0010436584";"DNX";"Euronext Paris";"EUR";"6.00";"6.00";"5.80";"5.90";"14/02/2018 17:29";"CET";"5297";"31292.72"
"DOC DATA";"NL0000345627";"DOCD";"Euronext Amsterdam";"EUR";"2.30";"2.44";"2.25";"2.32";"14/02/2018 17:19";"CET";"114275";"268695.07"
"DOCK.PETR.AMBES AM";"FR0000065260";"DPAM";"Euronext Paris";"EUR";"550.00";"550.00";"550.00";"550.00";"14/02/2018 17:16";"CET";"5";"2750.00"
"DOLPHIN INTEGRAT.";"FR0004022754";"ALDOL";"Euronext Growth Paris";"EUR";"16.50";"16.50";"16.50";"16.50";"14/02/2018 12:56";"CET";"89";"1468.50"
"DOM SECURITY";"FR0000052839";"DOMS";"Euronext Paris";"EUR";"58.60";"58.80";"58.00";"58.80";"14/02/2018 17:13";"CET";"244";"14227.20"
"DPA GROUP";"NL0009197771";"DPA";"Euronext Amsterdam";"EUR";"1.785";"1.805";"1.77";"1.77";"14/02/2018 17:25";"CET";"3628";"6451.045"
"DRDGOLD";"ZAE000058723";"MLDUR";"Euronext Access Paris";"EUR";"0.32";"0.32";"0.32";"0.32";"13/06/2017 15:00";"CET";"14856";"4753.92"
"DRONE VOLT";"FR0013088606";"ALDRV";"Euronext Growth Paris";"EUR";"0.752";"0.754";"0.732";"0.732";"14/02/2018 17:08";"CET";"31674";"23533.912"
"DRONE VOLT BS";"FR0012860542";"DRVBS";"Euronext Growth Paris";"EUR";"0.30";"0.30";"0.30";"0.30";"31/03/2017 16:00";"CET";"1500";"450.00"
"DSM KON";"NL0000009827";"DSM";"Euronext Amsterdam";"EUR";"82.34";"82.96";"80.56";"81.24";"14/02/2018 17:36";"CET";"1621044";"132360063.30"
"DWC 3.0";"IT0005154635";"MLDWC";"Euronext Access Paris";"EUR";"2.16";"2.16";"2.16";"2.16";"08/02/2018 11:30";"CET";"1157";"2499.12"
"DYNAFOND";"FR0000052920";"MLDYN";"Euronext Access Paris";"EUR";"3.52";"3.52";"3.52";"3.52";"13/02/2018 11:30";"CET";"150";"528.00"
"DYNEX ENERGY SA";"LU0881232630";"MLDYX";"Euronext Access Paris";"EUR";"3.65";"3.65";"3.65";"3.65";"27/06/2017 11:30";"CET";"200";"730.00"
"E.ON SE";"DE000ENAG999";"EON";"Traded not listed Brussels";"EUR";"8.388";"8.60";"8.388";"8.60";"14/02/2018 14:40";"CET";"1500";"12585.18"
"EASSON HOLDING";"HK0000038783";"MLEAS";"Euronext Access Paris";"EUR";"0.24";"0.24";"0.24";"0.24";"26/01/2018 16:30";"CET";"10";"2.40"
"EASYVISTA";"FR0010246322";"ALEZV";"Euronext Growth Paris";"EUR";"32.80";"33.00";"32.80";"33.00";"14/02/2018 10:57";"CET";"732";"24036.40"
"EAUX DE DOUAI";"FR0005142999";"MLEAU";"Euronext Access Paris";"EUR";"88.00";"88.00";"88.00";"88.00";"13/02/2018 11:30";"CET";"1";"88.00"
"EAUX DE ROYAN";"FR0007200100";"MLEDR";"Euronext Access Paris";"EUR";"126.00";"126.00";"126.00";"126.00";"14/02/2018 11:32";"CET";"78";"9828.00"
"EAVS";"FR0010536185";"MLEAV";"Euronext Access Paris";"EUR";"13.95";"13.95";"13.95";"13.95";"23/07/2010 15:00";"CET";"10";"139.50"
"ECA";"FR0010099515";"ECASA";"Euronext Paris";"EUR";"19.40";"19.40";"19.30";"19.30";"14/02/2018 17:19";"CET";"195";"3771.30"
"ECKERT-ZIEGLER BG";"BE0974300320";"EZBG";"Euronext Brussels";"EUR";"8.85";"8.85";"8.50";"8.80";"14/02/2018 17:20";"CET";"368";"3212.50"
"ECOLUTIONS";"DE000A0XYM45";"MLECO";"Euronext Access Paris";"EUR";"1.25";"1.25";"1.25";"1.25";"21/12/2016 15:00";"CET";"100";"125.00"
"ECONOCOM GROUP";"BE0974313455";"ECONB";"Euronext Brussels";"EUR";"6.65";"6.745";"6.60";"6.60";"14/02/2018 17:35";"CET";"295878";"1971038.22"
"ECOSLOPS";"FR0011490648";"ALESA";"Euronext Growth Paris";"EUR";"12.70";"12.70";"12.45";"12.55";"14/02/2018 17:27";"CET";"1645";"20611.90"
"EDENRED";"FR0010908533";"EDEN";"Euronext Paris";"EUR";"25.22";"25.71";"25.17";"25.50";"14/02/2018 17:35";"CET";"578773";"14749854.76"
"EDENRED NV18";"FR0013306214";"EDENV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"EDF";"FR0010242511";"EDF";"Euronext Paris";"EUR";"10.21";"10.62";"10.21";"10.435";"14/02/2018 17:35";"CET";"3492203";"36365174.29"
"EDITIONS DU SIGNE";"FR0000052755";"MLEDS";"Euronext Access Paris";"EUR";"1.48";"1.48";"1.48";"1.48";"13/02/2018 16:30";"CET";"338";"500.24"
"EDP";"PTEDP0AM0009";"EDP";"Euronext Lisbon";"EUR";"2.76";"2.764";"2.722";"2.749";"14/02/2018 22:35";"BST";"6094800";"16740108.059"
"EDP RENOVAVEIS";"ES0127797019";"EDPR";"Euronext Lisbon";"EUR";"7.105";"7.18";"7.105";"7.12";"14/02/2018 22:35";"BST";"194427";"1389816.315"
"EDUNIVERSAL";"FR0010439265";"MLEDU";"Euronext Access Paris";"EUR";"8.42";"8.42";"8.42";"8.42";"18/04/2012 15:00";"CET";"850";"7157.00"
"EES";"FR0010945733";"MLEES";"Euronext Access Paris";"EUR";"0.36";"0.36";"0.36";"0.36";"13/02/2018 16:30";"CET";"369";"132.84"
"EGIDE";"FR0000072373";"GID";"Euronext Paris";"EUR";"2.42";"2.42";"2.27";"2.35";"14/02/2018 16:51";"CET";"24188";"56843.94"
"EIFFAGE";"FR0000130452";"FGR";"Euronext Paris";"EUR";"89.00";"90.94";"88.94";"90.20";"14/02/2018 17:35";"CET";"380981";"34327857.28"
"EKINOPS";"FR0011466069";"EKI";"Euronext Paris";"EUR";"4.20";"4.27";"4.195";"4.27";"14/02/2018 17:35";"CET";"30894";"130197.125"
"ELEC.STRASBOURG";"FR0000031023";"ELEC";"Euronext Paris";"EUR";"129.00";"135.00";"129.00";"135.00";"14/02/2018 15:56";"CET";"532";"70450.00"
"ELECTRO POWER";"FR0012650166";"EPS";"Euronext Paris";"EUR";"10.25";"10.30";"10.10";"10.15";"14/02/2018 17:35";"CET";"9665";"98575.60"
"ELIA";"BE0003822393";"ELI";"Euronext Brussels";"EUR";"47.35";"48.00";"47.20";"47.70";"14/02/2018 17:35";"CET";"27385";"1305223.75"
"ELIOR GROUP";"FR0011950732";"ELIOR";"Euronext Paris";"EUR";"17.90";"18.22";"17.90";"18.07";"14/02/2018 17:35";"CET";"439402";"7945636.57"
"ELIS";"FR0012435121";"ELIS";"Euronext Paris";"EUR";"20.86";"21.16";"20.72";"21.06";"14/02/2018 17:35";"CET";"439627";"9221054.28"
"EMAKINA GROUP";"BE0003843605";"ALEMK";"Euronext Growth Brussels";"EUR";"14.10";"14.10";"14.10";"14.10";"14/02/2018 12:42";"CET";"400";"5640.00"
"EMD MUSIC";"BE0003849669";"EMD";"Euronext Access Brussels";"EUR";"0.45";"0.45";"0.45";"0.45";"06/02/2018 16:30";"CET";"10";"4.50"
"EMOVA BS";"FR0013245123";"ALEBS";"Euronext Growth Paris";"EUR";"0.033";"0.033";"0.033";"0.033";"13/02/2018 16:30";"CET";"30";"0.99"
"EMOVA GROUP";"FR0010554113";"ALEMV";"Euronext Growth Paris";"EUR";"0.35";"0.37";"0.333";"0.364";"14/02/2018 17:18";"CET";"507872";"175917.18"
"ENCRES DUBUIT";"FR0004030708";"ALDUB";"Euronext Growth Paris";"EUR";"5.54";"5.72";"5.50";"5.72";"14/02/2018 16:42";"CET";"1868";"10311.84"
"ENERTIME";"FR0011915339";"ALENE";"Euronext Growth Paris";"EUR";"2.29";"2.37";"2.13";"2.16";"14/02/2018 17:35";"CET";"56920";"124867.11"
"ENGIE";"FR0010208488";"ENGI";"Euronext Paris, Brussels";"EUR";"12.55";"12.75";"12.50";"12.615";"14/02/2018 17:37";"CET";"7059561";"89162503.005"
"ENI";"IT0003132476";"ENI";"Traded not listed Brussels";"EUR";"13.208";"13.208";"13.208";"13.208";"13/02/2018 13:16";"CET";"51";"673.61"
"ENTREPARTICULIERS";"FR0010424697";"ALENT";"Euronext Growth Paris";"EUR";"0.775";"0.775";"0.77";"0.77";"14/02/2018 15:26";"CET";"7";"5.395"
"ENTREPRENDRE";"FR0000045122";"ALENR";"Euronext Growth Paris";"EUR";"28.80";"28.80";"28.80";"28.80";"09/02/2018 11:30";"CET";"1";"28.80"
"ENVIPCO";"NL0009901610";"ENVI";"Euronext Brussels";"EUR";"9.75";"9.75";"8.60";"9.60";"14/02/2018 17:17";"CET";"3834";"33796.35"
"ENVIRONNEMENT SA";"FR0010278762";"ALTEV";"Euronext Growth Paris";"EUR";"75.40";"76.00";"75.20";"75.60";"14/02/2018 17:01";"CET";"157";"11874.40"
"EO2";"FR0010465534";"ALEO2";"Euronext Growth Paris";"EUR";"6.68";"6.72";"6.54";"6.68";"14/02/2018 17:35";"CET";"22048";"146222.06"
"EON MOTORS GROUP";"FR0011612837";"MLEMG";"Euronext Access Paris";"EUR";"1.49";"1.49";"1.49";"1.49";"23/01/2018 16:30";"CET";"80";"119.20"
"EOS IMAGING";"FR0011191766";"EOSI";"Euronext Paris";"EUR";"5.04";"5.12";"5.01";"5.10";"14/02/2018 17:35";"CET";"79876";"403482.44"
"ERAMET";"FR0000131757";"ERA";"Euronext Paris";"EUR";"115.50";"120.40";"114.20";"119.50";"14/02/2018 17:35";"CET";"115803";"13565461.80"
"ERYTECH PHARMA";"FR0011471135";"ERYP";"Euronext Paris";"EUR";"16.74";"17.28";"16.64";"16.84";"14/02/2018 17:35";"CET";"36173";"611660.38"
"ESI GROUP";"FR0004110310";"ESI";"Euronext Paris";"EUR";"40.00";"40.00";"38.70";"40.00";"14/02/2018 17:35";"CET";"14658";"573487.55"
"ESKER";"FR0000035818";"ALESK";"Euronext Growth Paris";"EUR";"50.80";"51.50";"50.50";"51.00";"14/02/2018 17:35";"CET";"1416";"72553.20"
"ESPERITE";"NL0009272137";"ESP";"Euronext Amsterdam, Paris";"EUR";"0.482";"0.496";"0.48";"0.481";"14/02/2018 17:35";"CET";"387099";"188489.4855"
"ESSILOR INTER NV18";"FR0013306222";"EINV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ESSILOR INTL.";"FR0000121667";"EI";"Euronext Paris";"EUR";"107.00";"108.80";"106.45";"107.85";"14/02/2018 17:35";"CET";"558098";"60164534.70"
"ESSO";"FR0000120669";"ES";"Euronext Paris";"EUR";"45.35";"46.50";"44.10";"45.00";"14/02/2018 17:35";"CET";"7218";"328562.05"
"EST REPUBLICAIN";"FR0005310463";"MLEST";"Euronext Access Paris";"EUR";"15.00";"15.00";"15.00";"15.00";"31/08/2017 11:30";"CET";"10";"150.00"
"ESTORIL SOL N";"PTESO0AM0000";"ESON";"Euronext Lisbon";"EUR";"11.90";"12.10";"11.90";"12.10";"14/02/2018 21:30";"BST";"315";"3751.50"
"EULER HERMES GROUP";"FR0004254035";"ELE";"Euronext Paris";"EUR";"121.80";"122.00";"121.00";"121.00";"14/02/2018 17:35";"CET";"19283";"2335920.40"
"EURASIA FONC INV";"FR0000061475";"EFI";"Euronext Paris";"EUR";"0.17";"0.17";"0.17";"0.17";"05/01/2018 16:30";"CET";"800";"136.00"
"EURASIA GROUPE";"FR0010844001";"ALEUA";"Euronext Growth Paris";"EUR";"8.31";"8.31";"8.31";"8.31";"30/06/2017 16:30";"CET";"100";"831.00"
"EURAZEO";"FR0000121121";"RF";"Euronext Paris";"EUR";"79.00";"79.40";"78.25";"79.30";"14/02/2018 17:35";"CET";"111668";"8841386.35"
"EURO RESSOURCES";"FR0000054678";"EUR";"Euronext Paris";"EUR";"3.19";"3.27";"3.19";"3.23";"14/02/2018 17:09";"CET";"5227";"16859.85"
"EUROCASTLE INVEST.";"GB00B94QM994";"ECT";"Euronext Amsterdam";"EUR";"7.80";"7.92";"7.80";"7.88";"14/02/2018 17:35";"CET";"18228";"143594.26"
"EUROCOMMERCIAL";"NL0000288876";"ECMPA";"Euronext Amsterdam";"EUR";"33.22";"33.38";"32.98";"33.08";"14/02/2018 17:35";"CET";"77941";"2582948.26"
"EUROFINS CEREP";"FR0013256518";"ALECR";"Euronext Growth Paris";"EUR";"5200.00";"5200.00";"5200.00";"5200.00";"20/12/2017 16:30";"CET";"1";"5200.00"
"EUROFINS NV18";"FR0013308749";"ERFNV";"Euronext Paris";"EUR";"475.60";"475.60";"475.60";"475.60";"12/02/2018 11:30";"CET";"310";"147436.00"
"EUROFINS SCIENT.";"FR0000038259";"ERF";"Euronext Paris";"EUR";"478.20";"484.40";"476.00";"480.40";"14/02/2018 17:35";"CET";"21287";"10233131.20"
"EUROGERM";"FR0010452474";"ALGEM";"Euronext Growth Paris";"EUR";"29.40";"29.60";"29.40";"29.60";"14/02/2018 14:27";"CET";"256";"7577.40"
"EUROLAND CORPORATE";"FR0010157115";"MLERO";"Euronext Access Paris";"EUR";"1.10";"1.10";"1.08";"1.08";"13/02/2018 16:30";"CET";"3185";"3489.80"
"EUROMEDIS GROUPE";"FR0000075343";"EMG";"Euronext Paris";"EUR";"7.30";"7.30";"7.30";"7.30";"14/02/2018 13:21";"CET";"159";"1160.70"
"EURONAV";"BE0003816338";"EURN";"Euronext Brussels";"EUR";"6.65";"6.675";"6.535";"6.625";"14/02/2018 17:35";"CET";"596215";"3938611.87"
"EURONEXT";"NL0006294274";"ENX";"Euronext Paris, Amsterdam, Brussels";"EUR";"53.55";"53.95";"53.05";"53.50";"14/02/2018 17:35";"CET";"101767";"5451876.35"
"EURONEXT";"NL0006294274";"ENXP";"Euronext Lisbon";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"EUROPACORP";"FR0010490920";"ECP";"Euronext Paris";"EUR";"2.39";"2.78";"2.26";"2.57";"14/02/2018 17:36";"CET";"907677";"2359289.30"
"EUROPCAR";"FR0012789949";"EUCAR";"Euronext Paris";"EUR";"10.43";"10.75";"10.35";"10.73";"14/02/2018 17:35";"CET";"407849";"4330213.99"
"EUROPLASMA";"FR0000044810";"ALEUP";"Euronext Growth Paris";"EUR";"0.194";"0.20";"0.1912";"0.1998";"14/02/2018 17:35";"CET";"393758";"77348.8258"
"EUROPLASMA BSB";"FR0012160661";"EURBT";"Euronext Growth Paris";"EUR";"0.0035";"0.0035";"0.0035";"0.0035";"14/02/2018 10:45";"CET";"140";"0.49"
"EUROPLASMA BSC";"FR0013294089";"EURBU";"Euronext Growth Paris";"EUR";"0.0077";"0.0077";"0.0077";"0.0077";"14/02/2018 17:13";"CET";"34940";"269.038"
"EUROPUBLIDIS";"BE0003842599";"ALPBS";"Euronext Growth Brussels";"EUR";"0.25";"0.25";"0.25";"0.25";"30/01/2018 11:30";"CET";"448";"112.00"
"EUTELSAT COMMUNIC.";"FR0010221234";"ETL";"Euronext Paris";"EUR";"16.20";"17.125";"16.19";"16.70";"14/02/2018 17:36";"CET";"1373366";"22956385.90"
"EVADIX";"BE0003840577";"ALEVA";"Euronext Growth Brussels";"EUR";"0.505";"0.505";"0.505";"0.505";"31/01/2018 16:30";"CET";"1567";"791.34"
"EVERSET";"FR0000044745";"MLEVE";"Euronext Access Paris";"EUR";"0.05";"0.05";"0.05";"0.05";"08/02/2018 11:30";"CET";"72";"3.60"
"EVOLIS";"FR0004166197";"ALTVO";"Euronext Growth Paris";"EUR";"39.40";"39.50";"39.40";"39.40";"14/02/2018 12:07";"CET";"123";"4849.40"
"EVS BROADC.EQUIPM.";"BE0003820371";"EVS";"Euronext Brussels";"EUR";"29.30";"29.45";"29.00";"29.00";"14/02/2018 17:35";"CET";"5006";"146159.60"
"EXACOMPTA CLAIREF.";"FR0000064164";"EXAC";"Euronext Paris";"EUR";"118.00";"118.00";"118.00";"118.00";"12/02/2018 16:30";"CET";"64";"7552.00"
"EXEL INDUSTRIES";"FR0004527638";"EXE";"Euronext Paris";"EUR";"114.50";"117.00";"114.50";"116.50";"14/02/2018 17:35";"CET";"489";"56418.00"
"EXMAR";"BE0003808251";"EXM";"Euronext Brussels";"EUR";"5.90";"5.95";"5.82";"5.89";"14/02/2018 17:35";"CET";"40167";"236085.69"
"EXPLOS.PROD.CHI.PF";"FR0000037343";"EPCP";"Euronext Paris";"EUR";"882.00";"882.00";"882.00";"882.00";"09/02/2018 16:30";"CET";"119";"104958.00"
"EXPLOSIFS PROD.CHI";"FR0000039026";"EXPL";"Euronext Paris";"EUR";"830.00";"830.00";"830.00";"830.00";"14/02/2018 11:38";"CET";"38";"31540.00"
"F.RAMA";"PTFRV0AE0004";"RAM";"Euronext Lisbon";"EUR";"12.40";"13.20";"12.20";"12.90";"14/02/2018 22:05";"BST";"21059";"271741.60"
"FAGRON";"BE0003874915";"FAGR";"Euronext Brussels, Amsterdam";"EUR";"12.55";"12.77";"12.48";"12.69";"14/02/2018 17:35";"CET";"360940";"4578517.66"
"FASHION B AIR";"FR0004034593";"ALFBA";"Euronext Growth Paris";"EUR";"0.664";"0.674";"0.664";"0.674";"14/02/2018 17:20";"CET";"4307";"2878.128"
"FAURECIA";"FR0000121147";"EO";"Euronext Paris";"EUR";"68.28";"70.16";"67.08";"69.92";"14/02/2018 17:35";"CET";"494439";"34196679.50"
"FAUVET GIREL";"FR0000063034";"FAUV";"Euronext Paris";"EUR";"20.40";"20.40";"20.40";"20.40";"08/02/2018 16:30";"CET";"17";"346.80"
"FAYENC.SARREGUEMI.";"FR0000031973";"FAYE";"Euronext Paris";"EUR";"45.80";"45.80";"45.80";"45.80";"12/02/2018 16:30";"CET";"1";"45.80"
"FD";"FR0012300424";"MLFDV";"Euronext Access Paris";"EUR";"3.20";"3.20";"3.20";"3.20";"02/10/2017 16:30";"CET";"110";"352.00"
"FENALU";"PTFEN0AP0006";"FEN";"Euronext Access Lisbon";"EUR";"0.01";"0.01";"0.01";"0.01";"02/08/2017 20:31";"BST";"12500";"125.00"
"FERM.CAS.MUN.CANNE";"FR0000062101";"FCMC";"Euronext Paris";"EUR";"1610.00";"1700.00";"1610.00";"1700.00";"01/02/2018 16:30";"CET";"2";"3310.00"
"FERMENTALG";"FR0011271600";"FALG";"Euronext Paris";"EUR";"2.945";"2.985";"2.90";"2.98";"14/02/2018 17:13";"CET";"26789";"78608.50"
"FFP";"FR0000064784";"FFP";"Euronext Paris";"EUR";"95.50";"98.50";"95.50";"98.00";"14/02/2018 17:35";"CET";"13712";"1338220.30"
"FIDUCIAL OFF.SOL.";"FR0000061418";"SACI";"Euronext Paris";"EUR";"29.40";"29.40";"29.40";"29.40";"14/02/2018 11:30";"CET";"1";"29.40"
"FIDUCIAL REAL EST.";"FR0000060535";"ORIA";"Euronext Paris";"EUR";"197.00";"197.00";"197.00";"197.00";"14/02/2018 11:30";"CET";"1";"197.00"
"FIGEAC AERO";"FR0011665280";"FGA";"Euronext Paris";"EUR";"16.98";"16.98";"16.34";"16.68";"14/02/2018 17:35";"CET";"37006";"612593.80"
"FILAE";"FR0010221069";"ALFIL";"Euronext Growth Paris";"EUR";"6.00";"6.00";"6.00";"6.00";"12/02/2018 11:30";"CET";"400";"2400.00"
"FIN.ETANG BERRE";"FR0000062341";"BERR";"Euronext Paris";"EUR";"6.90";"6.90";"6.90";"6.90";"14/02/2018 11:30";"CET";"200";"1380.00"
"FIN.ETANG BERRE PF";"FR0000062507";"EBPF";"Euronext Paris";"EUR";"144.00";"144.00";"144.00";"144.00";"27/12/2017 11:30";"CET";"20";"2880.00"
"FIN.OUEST AFRICAIN";"SN0000033192";"FOAF";"Euronext Paris";"EUR";"3.50";"3.50";"3.50";"3.50";"02/01/2018 16:30";"CET";"60";"210.00"
"FINANCIER CROI INV";"FR0010480517";"MLFCI";"Euronext Access Paris";"EUR";"0.18";"0.18";"0.18";"0.18";"24/11/2017 16:30";"CET";"77750";"13995.00"
"FINANCIERE MARJOS";"FR0000060824";"FINM";"Euronext Paris";"EUR";"0.236";"0.236";"0.236";"0.236";"14/02/2018 11:30";"CET";"50";"11.80"
"FINANCIERE ODET";"FR0000062234";"ODET";"Euronext Paris";"EUR";"1015.00";"1020.00";"982.00";"1010.00";"14/02/2018 17:35";"CET";"69";"69588.00"
"FINANCIERE SICOMAX";"FR0000066797";"MLSIC";"Euronext Access Paris";"EUR";"12.20";"12.20";"12.20";"12.20";"06/02/2018 11:30";"CET";"19";"231.80"
"FINATIS";"FR0000035123";"FNTS";"Euronext Paris";"EUR";"48.60";"48.60";"48.40";"48.40";"14/02/2018 16:30";"CET";"67";"3243.00"
"FINAXO";"FR0010487272";"MLFXO";"Euronext Access Paris";"EUR";"4.00";"4.00";"4.00";"4.00";"13/02/2018 11:30";"CET";"15";"60.00"
